board,collision,solver,time_limit,png,seed,workers,message
dark_1.bff,wall,v2,120.0,1,42,4,[OK] wall/v2 in 0.000s → results/dark_1_wall_v2.txt
dark_1.bff,wall,parallel,120.0,1,42,4,[OK] wall/parallel in 120.002s → results/dark_1_wall_parallel.txt
dark_1.bff,center,v2,120.0,1,42,4,[OK] center/v2 in 0.000s → results/dark_1_center_v2.txt
dark_1.bff,center,parallel,120.0,1,42,4,[OK] center/parallel in 120.002s → results/dark_1_center_parallel.txt
mad_1.bff,wall,v2,120.0,1,42,4,[OK] wall/v2 in 0.003s → results/mad_1_wall_v2.txt
mad_1.bff,wall,parallel,120.0,1,42,4,[OK] wall/parallel in 0.114s → results/mad_1_wall_parallel.txt
mad_1.bff,center,v2,120.0,1,42,4,[OK] center/v2 in 0.815s → results/mad_1_center_v2.txt
mad_1.bff,center,parallel,120.0,1,42,4,[OK] center/parallel in 120.004s → results/mad_1_center_parallel.txt
mad_4.bff,wall,v2,120.0,1,42,4,[OK] wall/v2 in 36.240s → results/mad_4_wall_v2.txt
mad_4.bff,wall,parallel,120.0,1,42,4,[OK] wall/parallel in 120.005s → results/mad_4_wall_parallel.txt
mad_4.bff,center,v2,120.0,1,42,4,[OK] center/v2 in 6.739s → results/mad_4_center_v2.txt
mad_4.bff,center,parallel,120.0,1,42,4,[OK] center/parallel in 120.004s → results/mad_4_center_parallel.txt
mad_7.bff,wall,v2,120.0,1,42,4,[OK] wall/v2 in 0.000s → results/mad_7_wall_v2.txt
mad_7.bff,wall,parallel,120.0,1,42,4,[OK] wall/parallel in 120.002s → results/mad_7_wall_parallel.txt
mad_7.bff,center,v2,120.0,1,42,4,[OK] center/v2 in 0.000s → results/mad_7_center_v2.txt
mad_7.bff,center,parallel,120.0,1,42,4,[OK] center/parallel in 120.002s → results/mad_7_center_parallel.txt
numbered_6.bff,wall,v2,120.0,1,42,4,[OK] wall/v2 in 23.385s → results/numbered_6_wall_v2.txt
numbered_6.bff,wall,parallel,120.0,1,42,4,[OK] wall/parallel in 120.004s → results/numbered_6_wall_parallel.txt
numbered_6.bff,center,v2,120.0,1,42,4,[OK] center/v2 in 9.825s → results/numbered_6_center_v2.txt
numbered_6.bff,center,parallel,120.0,1,42,4,[OK] center/parallel in 120.004s → results/numbered_6_center_parallel.txt
showstopper_4.bff,wall,v2,120.0,1,42,4,[OK] wall/v2 in 0.000s → results/showstopper_4_wall_v2.txt
showstopper_4.bff,wall,parallel,120.0,1,42,4,[OK] wall/parallel in 120.003s → results/showstopper_4_wall_parallel.txt
showstopper_4.bff,center,v2,120.0,1,42,4,[OK] center/v2 in 0.000s → results/showstopper_4_center_v2.txt
showstopper_4.bff,center,parallel,120.0,1,42,4,[OK] center/parallel in 120.002s → results/showstopper_4_center_parallel.txt
tiny_5.bff,wall,v2,120.0,1,42,4,[OK] wall/v2 in 0.020s → results/tiny_5_wall_v2.txt
tiny_5.bff,wall,parallel,120.0,1,42,4,[OK] wall/parallel in 0.120s → results/tiny_5_wall_parallel.txt
tiny_5.bff,center,v2,120.0,1,42,4,[OK] center/v2 in 0.078s → results/tiny_5_center_v2.txt
tiny_5.bff,center,parallel,120.0,1,42,4,[OK] center/parallel in 120.004s → results/tiny_5_center_parallel.txt
yarn_5.bff,wall,v2,120.0,1,42,4,[OK] wall/v2 in 76.483s → results/yarn_5_wall_v2.txt
yarn_5.bff,wall,parallel,120.0,1,42,4,[OK] wall/parallel in 120.007s → results/yarn_5_wall_parallel.txt
yarn_5.bff,center,v2,120.0,1,42,4,[OK] center/v2 in 73.524s → results/yarn_5_center_v2.txt
yarn_5.bff,center,parallel,120.0,1,42,4,[OK] center/parallel in 120.006s → results/yarn_5_center_parallel.txt
